index,class_info,class_count
11,"[('EOSINOPHIL', (31, 133, 21, 28)), ('LYMPHOCYTE', (62, 80, 21, 28)), ('LYMPHOCYTE', (66, 192, 19, 26)), ('LYMPHOCYTE', (133, 165, 19, 32)), ('NEUTROPHIL', (123, 37, 34, 42))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 3, 'NEUTROPHIL': 1}"
12,"[('EOSINOPHIL', (84, 7, 28, 27)), ('NEUTROPHIL', (137, 10, 35, 43)), ('NEUTROPHIL', (22, 140, 30, 50)), ('NEUTROPHIL', (147, 178, 21, 30))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
13,"[('EOSINOPHIL', (49, 166, 42, 56)), ('EOSINOPHIL', (180, 174, 24, 46)), ('LYMPHOCYTE', (75, 17, 26, 34)), ('MONOCYTE', (159, 62, 31, 48)), ('NEUTROPHIL', (9, 166, 26, 47))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'MONOCYTE': 1, 'NEUTROPHIL': 1}"
14,"[('EOSINOPHIL', (138, 47, 25, 39)), ('EOSINOPHIL', (9, 192, 23, 32)), ('LYMPHOCYTE', (133, 165, 19, 32)), ('NEUTROPHIL', (71, 2, 29, 37))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 1}"
15,"[('EOSINOPHIL', (155, 61, 23, 28)), ('LYMPHOCYTE', (62, 192, 21, 28)), ('MONOCYTE', (47, 62, 31, 48)), ('NEUTROPHIL', (155, 180, 32, 41))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'MONOCYTE': 1, 'NEUTROPHIL': 1}"
16,"[('NEUTROPHIL', (25, 79, 22, 33)), ('NEUTROPHIL', (155, 68, 32, 41)), ('NEUTROPHIL', (24, 161, 26, 37)), ('NEUTROPHIL', (134, 140, 30, 50))]",{'NEUTROPHIL': 4}
17,"[('EOSINOPHIL', (64, 59, 28, 40)), ('EOSINOPHIL', (32, 131, 23, 32)), ('LYMPHOCYTE', (156, 22, 22, 33)), ('LYMPHOCYTE', (166, 167, 27, 35))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 2}"
18,"[('EOSINOPHIL', (9, 10, 27, 38)), ('EOSINOPHIL', (192, 94, 32, 18)), ('MONOCYTE', (159, 181, 29, 41)), ('NEUTROPHIL', (175, 30, 33, 44)), ('NEUTROPHIL', (39, 112, 23, 31))]","{'EOSINOPHIL': 2, 'MONOCYTE': 1, 'NEUTROPHIL': 2}"
19,"[('EOSINOPHIL', (16, 59, 28, 35)), ('EOSINOPHIL', (45, 164, 22, 35)), ('LYMPHOCYTE', (148, 43, 28, 40)), ('NEUTROPHIL', (145, 162, 21, 29))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 1}"
20,"[('EOSINOPHIL', (152, 16, 31, 31)), ('LYMPHOCYTE', (20, 188, 26, 36)), ('NEUTROPHIL', (0, 63, 25, 35)), ('NEUTROPHIL', (134, 138, 31, 36))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
21,"[('EOSINOPHIL', (176, 59, 28, 40)), ('EOSINOPHIL', (157, 186, 32, 31)), ('MONOCYTE', (35, 30, 26, 34)), ('NEUTROPHIL', (14, 159, 27, 36))]","{'EOSINOPHIL': 2, 'MONOCYTE': 1, 'NEUTROPHIL': 1}"
22,"[('EOSINOPHIL', (45, 164, 22, 35)), ('NEUTROPHIL', (4, 80, 32, 32)), ('NEUTROPHIL', (137, 79, 22, 33)), ('NEUTROPHIL', (180, 154, 27, 40))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
23,"[('', (45, 21, 27, 46)), ('EOSINOPHIL', (136, 7, 27, 35)), ('NEUTROPHIL', (49, 141, 30, 35)), ('NEUTROPHIL', (147, 161, 30, 45))]","{'': 1, 'EOSINOPHIL': 1, 'NEUTROPHIL': 2}"
24,"[('EOSINOPHIL', (24, 7, 27, 35)), ('NEUTROPHIL', (168, 21, 34, 36)), ('NEUTROPHIL', (14, 159, 27, 36)), ('NEUTROPHIL', (147, 161, 30, 45))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
25,"[('EOSINOPHIL', (76, 51, 25, 35)), ('EOSINOPHIL', (138, 0, 23, 24)), ('EOSINOPHIL', (132, 125, 29, 35)), ('LYMPHOCYTE', (28, 145, 22, 27))]","{'EOSINOPHIL': 3, 'LYMPHOCYTE': 1}"
26,"[('EOSINOPHIL', (36, 38, 24, 34)), ('EOSINOPHIL', (19, 168, 30, 42)), ('NEUTROPHIL', (133, 28, 28, 39)), ('NEUTROPHIL', (133, 140, 28, 39))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
27,"[('EOSINOPHIL', (49, 21, 45, 50)), ('EOSINOPHIL', (155, 61, 23, 28)), ('EOSINOPHIL', (66, 180, 27, 36)), ('NEUTROPHIL', (144, 143, 26, 34))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
28,"[('EOSINOPHIL', (80, 206, 32, 18)), ('LYMPHOCYTE', (133, 53, 19, 32)), ('NEUTROPHIL', (19, 55, 27, 28)), ('NEUTROPHIL', (63, 142, 33, 44)), ('NEUTROPHIL', (154, 164, 27, 34))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
29,"[('EOSINOPHIL', (131, 56, 30, 42)), ('EOSINOPHIL', (80, 206, 32, 18)), ('EOSINOPHIL', (183, 169, 29, 42)), ('NEUTROPHIL', (42, 49, 37, 42)), ('NEUTROPHIL', (63, 142, 33, 44))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 2}"
30,"[('EOSINOPHIL', (4, 39, 44, 56)), ('EOSINOPHIL', (161, 54, 42, 56)), ('LYMPHOCYTE', (156, 162, 25, 29)), ('NEUTROPHIL', (121, 54, 26, 47)), ('NEUTROPHIL', (25, 122, 35, 43))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
31,"[('EOSINOPHIL', (64, 59, 28, 40)), ('MONOCYTE', (147, 30, 26, 34)), ('NEUTROPHIL', (28, 146, 29, 28)), ('NEUTROPHIL', (143, 144, 33, 40))]","{'EOSINOPHIL': 1, 'MONOCYTE': 1, 'NEUTROPHIL': 2}"
32,"[('EOSINOPHIL', (48, 46, 36, 44)), ('EOSINOPHIL', (165, 30, 47, 48)), ('EOSINOPHIL', (49, 133, 45, 50)), ('NEUTROPHIL', (149, 112, 34, 37))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
33,"[('EOSINOPHIL', (61, 59, 26, 33)), ('EOSINOPHIL', (152, 128, 31, 31)), ('LYMPHOCYTE', (28, 145, 22, 27)), ('NEUTROPHIL', (137, 73, 33, 39))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 1}"
34,"[('LYMPHOCYTE', (44, 50, 25, 29)), ('NEUTROPHIL', (147, 49, 30, 45)), ('NEUTROPHIL', (64, 182, 23, 30)), ('NEUTROPHIL', (161, 141, 30, 35))]","{'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
35,"[('EOSINOPHIL', (24, 7, 27, 35)), ('EOSINOPHIL', (112, 52, 19, 30)), ('EOSINOPHIL', (50, 196, 27, 28)), ('NEUTROPHIL', (137, 191, 22, 33))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
36,"[('EOSINOPHIL', (152, 16, 31, 31)), ('EOSINOPHIL', (20, 125, 29, 35)), ('NEUTROPHIL', (8, 52, 31, 41)), ('NEUTROPHIL', (131, 167, 27, 28))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
37,"[('LYMPHOCYTE', (20, 188, 26, 36)), ('NEUTROPHIL', (38, 7, 30, 42)), ('NEUTROPHIL', (146, 66, 24, 33)), ('NEUTROPHIL', (168, 112, 23, 25))]","{'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
38,"[('MONOCYTE', (168, 54, 38, 52)), ('NEUTROPHIL', (37, 0, 34, 37)), ('NEUTROPHIL', (37, 152, 32, 41)), ('NEUTROPHIL', (153, 179, 33, 45))]","{'MONOCYTE': 1, 'NEUTROPHIL': 3}"
39,"[('EOSINOPHIL', (138, 47, 25, 39)), ('EOSINOPHIL', (33, 136, 40, 46)), ('EOSINOPHIL', (165, 142, 47, 48)), ('MONOCYTE', (32, 6, 31, 46))]","{'EOSINOPHIL': 3, 'MONOCYTE': 1}"
40,"[('EOSINOPHIL', (148, 38, 24, 34)), ('EOSINOPHIL', (176, 112, 28, 36)), ('NEUTROPHIL', (42, 52, 27, 34)), ('NEUTROPHIL', (51, 123, 23, 30))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
41,"[('EOSINOPHIL', (48, 46, 36, 44)), ('LYMPHOCYTE', (133, 53, 19, 32)), ('NEUTROPHIL', (22, 138, 31, 36)), ('NEUTROPHIL', (183, 114, 29, 37))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
42,"[('EOSINOPHIL', (64, 59, 28, 40)), ('EOSINOPHIL', (188, 51, 25, 35)), ('EOSINOPHIL', (71, 169, 29, 42)), ('LYMPHOCYTE', (152, 164, 27, 31))]","{'EOSINOPHIL': 3, 'LYMPHOCYTE': 1}"
43,"[('EOSINOPHIL', (183, 57, 29, 42)), ('EOSINOPHIL', (24, 119, 27, 35)), ('NEUTROPHIL', (0, 32, 27, 45)), ('NEUTROPHIL', (165, 181, 27, 43))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
44,"[('NEUTROPHIL', (25, 73, 33, 39)), ('NEUTROPHIL', (134, 26, 31, 36)), ('NEUTROPHIL', (20, 183, 24, 35)), ('NEUTROPHIL', (139, 137, 25, 35))]",{'NEUTROPHIL': 4}
45,"[('EOSINOPHIL', (21, 68, 33, 44)), ('EOSINOPHIL', (26, 159, 25, 39)), ('NEUTROPHIL', (165, 69, 27, 43)), ('NEUTROPHIL', (145, 139, 36, 43))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
46,"[('EOSINOPHIL', (84, 7, 28, 27)), ('EOSINOPHIL', (172, 123, 30, 38)), ('LYMPHOCYTE', (152, 52, 27, 31)), ('NEUTROPHIL', (24, 161, 26, 37))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 1}"
47,"[('EOSINOPHIL', (161, 53, 21, 32)), ('LYMPHOCYTE', (44, 156, 26, 28)), ('NEUTROPHIL', (53, 81, 27, 27)), ('NEUTROPHIL', (113, 158, 25, 35))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
48,"[('EOSINOPHIL', (116, 112, 24, 25)), ('MONOCYTE', (168, 54, 38, 52)), ('NEUTROPHIL', (25, 73, 33, 39)), ('NEUTROPHIL', (29, 112, 27, 29))]","{'EOSINOPHIL': 1, 'MONOCYTE': 1, 'NEUTROPHIL': 2}"
49,"[('EOSINOPHIL', (40, 16, 31, 31)), ('EOSINOPHIL', (138, 47, 25, 39)), ('EOSINOPHIL', (145, 136, 40, 46)), ('NEUTROPHIL', (27, 133, 26, 29))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
50,"[('EOSINOPHIL', (29, 66, 26, 36)), ('EOSINOPHIL', (59, 163, 26, 35)), ('MONOCYTE', (144, 6, 31, 46)), ('NEUTROPHIL', (163, 202, 28, 22)), ('NEUTROPHIL', (138, 147, 18, 28))]","{'EOSINOPHIL': 2, 'MONOCYTE': 1, 'NEUTROPHIL': 2}"
51,"[('EOSINOPHIL', (53, 30, 47, 48)), ('EOSINOPHIL', (165, 142, 47, 48)), ('NEUTROPHIL', (170, 2, 28, 34)), ('NEUTROPHIL', (51, 123, 23, 30))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
52,"[('EOSINOPHIL', (180, 62, 24, 46)), ('LYMPHOCYTE', (48, 139, 28, 35)), ('NEUTROPHIL', (31, 4, 33, 41)), ('NEUTROPHIL', (147, 178, 21, 30))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
53,"[('EOSINOPHIL', (43, 4, 30, 36)), ('EOSINOPHIL', (188, 51, 25, 35)), ('EOSINOPHIL', (181, 112, 33, 28)), ('NEUTROPHIL', (3, 116, 21, 30))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
54,"[('EOSINOPHIL', (147, 36, 27, 35)), ('EOSINOPHIL', (4, 151, 44, 56)), ('NEUTROPHIL', (32, 31, 26, 34)), ('NEUTROPHIL', (150, 122, 24, 29))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
55,"[('EOSINOPHIL', (172, 11, 30, 38)), ('EOSINOPHIL', (48, 165, 27, 32)), ('NEUTROPHIL', (47, 13, 23, 35)), ('NEUTROPHIL', (132, 160, 24, 35))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
56,"[('EOSINOPHIL', (121, 192, 23, 32)), ('LYMPHOCYTE', (54, 55, 27, 35)), ('LYMPHOCYTE', (27, 127, 20, 26)), ('NEUTROPHIL', (147, 66, 21, 30))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 2, 'NEUTROPHIL': 1}"
57,"[('EOSINOPHIL', (9, 80, 23, 32)), ('EOSINOPHIL', (35, 148, 27, 35)), ('EOSINOPHIL', (143, 112, 28, 26)), ('NEUTROPHIL', (147, 49, 30, 45))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
58,"[('EOSINOPHIL', (43, 61, 23, 28)), ('EOSINOPHIL', (31, 166, 41, 47)), ('NEUTROPHIL', (126, 47, 27, 36)), ('NEUTROPHIL', (163, 202, 28, 22)), ('NEUTROPHIL', (138, 147, 18, 28))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 3}"
59,"[('EOSINOPHIL', (23, 57, 36, 31)), ('EOSINOPHIL', (160, 53, 27, 32)), ('EOSINOPHIL', (69, 112, 33, 28)), ('NEUTROPHIL', (155, 180, 32, 41))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
60,"[('EOSINOPHIL', (147, 36, 27, 35)), ('LYMPHOCYTE', (44, 44, 26, 28)), ('NEUTROPHIL', (56, 133, 34, 36)), ('NEUTROPHIL', (161, 141, 30, 35))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
61,"[('EOSINOPHIL', (172, 11, 30, 38)), ('NEUTROPHIL', (54, 68, 31, 39)), ('NEUTROPHIL', (25, 122, 35, 43)), ('NEUTROPHIL', (154, 164, 27, 34))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
62,"[('EOSINOPHIL', (119, 141, 24, 30)), ('LYMPHOCYTE', (54, 55, 27, 35)), ('MONOCYTE', (168, 54, 38, 52)), ('NEUTROPHIL', (38, 122, 24, 29))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'MONOCYTE': 1, 'NEUTROPHIL': 1}"
63,"[('EOSINOPHIL', (30, 112, 40, 27)), ('LYMPHOCYTE', (186, 182, 21, 30)), ('MONOCYTE', (35, 30, 26, 34)), ('NEUTROPHIL', (191, 44, 26, 42))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'MONOCYTE': 1, 'NEUTROPHIL': 1}"
64,"[('LYMPHOCYTE', (174, 192, 21, 28)), ('NEUTROPHIL', (71, 2, 29, 37)), ('NEUTROPHIL', (134, 43, 31, 41)), ('NEUTROPHIL', (14, 159, 27, 36))]","{'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
65,"[('EOSINOPHIL', (180, 62, 24, 46)), ('NEUTROPHIL', (27, 25, 25, 35)), ('NEUTROPHIL', (21, 140, 28, 39)), ('NEUTROPHIL', (145, 139, 36, 43))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
66,"[('EOSINOPHIL', (36, 150, 24, 34)), ('EOSINOPHIL', (145, 112, 41, 46)), ('LYMPHOCYTE', (21, 53, 19, 32)), ('NEUTROPHIL', (145, 50, 21, 29))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 1}"
67,"[('EOSINOPHIL', (26, 0, 23, 24)), ('EOSINOPHIL', (155, 4, 30, 36)), ('EOSINOPHIL', (160, 158, 36, 44)), ('NEUTROPHIL', (38, 122, 24, 29))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
68,"[('EOSINOPHIL', (121, 10, 27, 38)), ('EOSINOPHIL', (20, 125, 29, 35)), ('EOSINOPHIL', (129, 112, 35, 41)), ('NEUTROPHIL', (31, 4, 33, 41))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
69,"[('EOSINOPHIL', (149, 0, 24, 31)), ('EOSINOPHIL', (24, 158, 25, 31)), ('EOSINOPHIL', (157, 164, 22, 35)), ('NEUTROPHIL', (47, 13, 23, 35))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
70,"[('EOSINOPHIL', (43, 116, 30, 36)), ('NEUTROPHIL', (4, 80, 32, 32)), ('NEUTROPHIL', (163, 90, 28, 22)), ('NEUTROPHIL', (138, 35, 18, 28)), ('NEUTROPHIL', (115, 116, 21, 30))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 4}"
71,"[('EOSINOPHIL', (37, 112, 24, 31)), ('LYMPHOCYTE', (174, 192, 21, 28)), ('NEUTROPHIL', (25, 73, 33, 39)), ('NEUTROPHIL', (165, 69, 27, 43))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
72,"[('NEUTROPHIL', (45, 37, 34, 46)), ('NEUTROPHIL', (163, 10, 28, 44)), ('NEUTROPHIL', (31, 116, 33, 41)), ('NEUTROPHIL', (151, 112, 23, 31))]",{'NEUTROPHIL': 4}
73,"[('EOSINOPHIL', (69, 112, 33, 28)), ('EOSINOPHIL', (129, 112, 35, 41)), ('NEUTROPHIL', (28, 34, 29, 28)), ('NEUTROPHIL', (112, 63, 25, 35))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
74,"[('LYMPHOCYTE', (28, 145, 22, 27)), ('NEUTROPHIL', (37, 40, 32, 41)), ('NEUTROPHIL', (134, 28, 30, 50)), ('NEUTROPHIL', (155, 132, 30, 42))]","{'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
75,"[('LYMPHOCYTE', (44, 156, 26, 28)), ('NEUTROPHIL', (19, 2, 25, 33)), ('NEUTROPHIL', (112, 32, 27, 45)), ('NEUTROPHIL', (183, 114, 29, 37))]","{'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
76,"[('EOSINOPHIL', (19, 56, 30, 42)), ('LYMPHOCYTE', (62, 192, 21, 28)), ('LYMPHOCYTE', (132, 188, 26, 36)), ('NEUTROPHIL', (180, 42, 27, 40))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 2, 'NEUTROPHIL': 1}"
77,"[('EOSINOPHIL', (69, 0, 33, 28)), ('EOSINOPHIL', (176, 59, 28, 40)), ('EOSINOPHIL', (12, 181, 38, 37)), ('EOSINOPHIL', (156, 134, 40, 50))]",{'EOSINOPHIL': 4}
78,"[('EOSINOPHIL', (30, 112, 40, 27)), ('EOSINOPHIL', (160, 165, 27, 32)), ('NEUTROPHIL', (25, 73, 33, 39)), ('NEUTROPHIL', (151, 0, 23, 31))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
79,"[('NEUTROPHIL', (25, 73, 33, 39)), ('NEUTROPHIL', (168, 0, 23, 25)), ('NEUTROPHIL', (47, 191, 22, 32)), ('NEUTROPHIL', (155, 180, 32, 41))]",{'NEUTROPHIL': 4}
80,"[('EOSINOPHIL', (26, 112, 23, 24)), ('LYMPHOCYTE', (59, 71, 24, 33)), ('NEUTROPHIL', (173, 0, 31, 26)), ('NEUTROPHIL', (153, 179, 33, 45))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
81,"[('EOSINOPHIL', (192, 94, 32, 18)), ('LYMPHOCYTE', (174, 192, 21, 28)), ('NEUTROPHIL', (1, 46, 25, 35)), ('NEUTROPHIL', (175, 30, 33, 44)), ('NEUTROPHIL', (32, 143, 26, 34))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
82,"[('NEUTROPHIL', (29, 0, 27, 29)), ('NEUTROPHIL', (154, 52, 27, 34)), ('NEUTROPHIL', (51, 122, 28, 44)), ('NEUTROPHIL', (150, 119, 30, 42))]",{'NEUTROPHIL': 4}
83,"[('MONOCYTE', (147, 142, 26, 34)), ('NEUTROPHIL', (33, 27, 36, 43)), ('NEUTROPHIL', (120, 52, 31, 41)), ('NEUTROPHIL', (47, 125, 23, 35))]","{'MONOCYTE': 1, 'NEUTROPHIL': 3}"
84,"[('EOSINOPHIL', (36, 14, 36, 54)), ('EOSINOPHIL', (145, 24, 40, 46)), ('EOSINOPHIL', (21, 180, 33, 44)), ('NEUTROPHIL', (145, 139, 36, 43))]","{'EOSINOPHIL': 3, 'NEUTROPHIL': 1}"
85,"[('EOSINOPHIL', (4, 39, 44, 56)), ('LYMPHOCYTE', (33, 134, 26, 32)), ('NEUTROPHIL', (163, 11, 23, 30)), ('NEUTROPHIL', (158, 175, 24, 30)), ('NEUTROPHIL', (182, 138, 26, 28))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
86,"[('EOSINOPHIL', (21, 180, 33, 44)), ('NEUTROPHIL', (27, 21, 26, 29)), ('NEUTROPHIL', (141, 0, 27, 29)), ('NEUTROPHIL', (165, 181, 27, 43))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
87,"[('EOSINOPHIL', (24, 158, 25, 31)), ('EOSINOPHIL', (152, 128, 31, 31)), ('NEUTROPHIL', (25, 10, 35, 43)), ('NEUTROPHIL', (137, 79, 22, 33))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
88,"[('EOSINOPHIL', (157, 52, 22, 35)), ('EOSINOPHIL', (26, 159, 25, 39)), ('NEUTROPHIL', (51, 10, 28, 44)), ('NEUTROPHIL', (134, 146, 26, 36))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
89,"[('EOSINOPHIL', (0, 164, 19, 30)), ('NEUTROPHIL', (24, 49, 26, 37)), ('NEUTROPHIL', (168, 0, 23, 25)), ('NEUTROPHIL', (159, 125, 23, 35))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
90,"[('EOSINOPHIL', (36, 38, 24, 34)), ('LYMPHOCYTE', (156, 44, 26, 28)), ('NEUTROPHIL', (61, 112, 31, 26)), ('NEUTROPHIL', (158, 175, 24, 30)), ('NEUTROPHIL', (182, 138, 26, 28))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
91,"[('EOSINOPHIL', (37, 112, 24, 31)), ('EOSINOPHIL', (176, 112, 28, 36)), ('LYMPHOCYTE', (48, 27, 28, 35)), ('NEUTROPHIL', (112, 63, 25, 35))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 1}"
92,"[('EOSINOPHIL', (16, 171, 28, 35)), ('EOSINOPHIL', (145, 136, 40, 46)), ('MONOCYTE', (150, 28, 38, 44)), ('NEUTROPHIL', (21, 28, 28, 39))]","{'EOSINOPHIL': 2, 'MONOCYTE': 1, 'NEUTROPHIL': 1}"
93,"[('EOSINOPHIL', (9, 10, 27, 38)), ('EOSINOPHIL', (196, 7, 28, 27)), ('EOSINOPHIL', (43, 173, 23, 28)), ('LYMPHOCYTE', (132, 188, 26, 36))]","{'EOSINOPHIL': 3, 'LYMPHOCYTE': 1}"
94,"[('EOSINOPHIL', (49, 54, 42, 56)), ('EOSINOPHIL', (49, 166, 42, 56)), ('LYMPHOCYTE', (156, 44, 26, 28)), ('NEUTROPHIL', (9, 54, 26, 47)), ('NEUTROPHIL', (9, 166, 26, 47)), ('NEUTROPHIL', (123, 149, 34, 42))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
